Country Name,MM-YYYY,Number of Hits,Sentiment Score (-1 to 1),Magnitude,Month's Headlines
Bolivia,09-2019,7,0.1,1.4,"['Bolivia Is Burning. Who Will Stop Its Fires?', 'Train Delayed? Relax With a Bolivian Pastry and Bubble Tea', 'Extreme Weather Displaced a Record 7 Million in First Half of 2019', 'Meet 8 Youth Protest Leaders', 'Climate Protests, Whistle-Blower, Area 51: Your Friday Evening Briefing', 'Our Andes Bureau Chief on the One Thing Every Correspondent Prays For in an Emergency', 'What It’s Really Like to Eat Your Way Around the Globe']"
Bolivia,10-2019,15,-0.2,0.6,"['Bolivia’s Democracy Faces Pivotal Test as Unrest Spreads', '‘There Could Be a War’: Protests Over Elections Roil Bolivia', 'Morales Averts Runoff in Bolivia, Officials Say, but Anger and Doubt Remain', 'Bolivia’s Evo Morales Faces Runoff, Early Election Returns Show', 'President Accused of Fraud in Bolivia Election as He Opens Big Vote Lead', '‘A Very Dangerous Game’: In Latin America, Embattled Leaders Lean on Generals', 'This Week’s News Quiz: N.B.A., Supreme Court, Nobel Prizes', 'In Ecuador and Beyond, Indigenous Groups Are Fighting to Be Seen', 'Colombian Artist Seeks Justice for the Natural World', 'Are We Ready for Satellites That See Our Every Move?', 'Syria, Boris Johnson, President Trump: Your Tuesday Briefing', 'Facebook, California, World Series: Your Thursday Briefing', 'From Chile to Lebanon, Protests Flare Over Wallet Issues', 'Catholic Bishops Back Ordination of Married Men as Priests in Amazon Region, a Milestone', 'These 526 Voters Represent All of America. And They Spent a Weekend Together.']"
Bolivia,11-2019,51,0.0,1.7,"['As Violence Grips Bolivia, Congress Moves Toward New Elections', 'How an Unknown Female Senator Came to Replace the Bolivian President Evo Morales', 'Ethnic Rifts in Bolivia Burst Into View With Fall of Evo Morales', 'In Bolivia, Interim Leader Sets Conservative, Religious Tone', 'Evo Morales Is Gone. Bolivia’s Problems Aren’t.', 'Bolivia’s Interim Leader Pledges to ‘Reconstruct Democracy’', 'Evo Morales of Bolivia Accepts Asylum in Mexico', 'Bolivian Leader Evo Morales Steps Down', 'From Bolivia, Sad Lessons on How to Fix Semi-Democracies', '‘I Assume the Presidency’: Bolivia Lawmaker Declares Herself Leader', 'Evo Morales Raises a Fist, but Knows His Presidency is Over', 'Bolivian Leader Clings to Power as Police Join Protesters', 'Bolivian Mayor Assaulted by Protesters in Postelection Mayhem', 'Military Calls on President to Step Down After Election Dispute in Bolivia', 'Bolivia Crisis Shows the Blurry Line Between Coup and Uprising', '‘Evo Morales Is Like a Father to Us’', 'The Coup Temptation in Latin America', '‘This Will Be Forever’: How the Ambitions of Evo Morales Contributed to His Fall', 'Your Monday Briefing: Bolivia, Spain, Premier League', 'Evo Morales and Bolivia: What We Know About the President’s Resignation', 'Mexico, a Haven for Leftists in Exile, Provides Evo Morales With a Landing Spot', 'Latin Americans Are Clamoring for Equality — and Democracy', 'Latin Americans Are Furious', 'The Revolt Against Populism', 'Hong Kong, Cold Weather, Veterans Day: Your Monday Briefing', 'Center-Right Candidate Wins in Uruguay, Ending 15 Years of Liberal Rule', 'News Quiz: Impeachment Hearing, Hong Kong, Australian Wildfires', 'The World Burns All Year. Are There Enough Planes to Douse the Flames?', 'Impeachment, Santa Clarita, Leonids: Your Weekend Briefing', 'Your Tuesday Briefing: Auto Tariffs, Russia-Brexit, Medical Marijuana', 'Impeachment, Deval Patrick, Venice Flooding: Your Thursday Briefing', 'Hong Kong, Impeachment Hearings, Nissan: Your Wednesday Briefing', 'Weekly News Quiz for Students: Elections, Vaping, Gaming Regulations', 'Lula’s Free. Now What?', 'Veterans Day, E.P.A., Hong Kong: Your Monday Evening Briefing', 'Arctic Blast, Supreme Court, Disney Plus: Your Tuesday Evening Briefing', 'Impeachment, Hong Kong, Tom Hanks: Your Wednesday Evening Briefing', '‘Our Nation Is Being Torn Apart. Truth Is Questioned.’', 'Hong Kong, Impeachment Hearings, Tom Hanks: Your Thursday Briefing', '‘Your Face Is Burning.’ How It Feels to Photograph Australia’s Fires', 'Your Tuesday Briefing', 'Israel, Jimmy Carter, Disney Plus: Your Tuesday Briefing', 'Donald Trump, Michael Bloomberg, Mexico: Your Friday Briefing', 'Impeachment Hearings, Ukraine, Denmark: Your Thursday Briefing', 'Impeachment, Elizabeth Warren, ISIS: Your Friday Briefing', 'Gordon Sondland, Syracuse University, Grammys: Your Wednesday Briefing', 'Impeachment Hearing, Plague, Colin Kaepernick: Your Wednesday Briefing', 'Your Monday Briefing', 'World Energy Report, Impeachment Hearings, Turkey: Your Wednesday Briefing', 'Stalking the Endangered Wax Palm', '100 Notable Books of 2019']"
Bolivia,12-2019,13,0.0,0.9,"['Mexico Calls Amplified Police Presence at Bolivia Embassy a ‘Siege’', 'Bolivia Expels 3 Diplomats in Tiff With Mexico and Spain Over Morales Aides', 'Restore Bolivian Democracy and Break Its History of Coups', 'Election Fraud Aided Evo Morales, International Panel Concludes', 'Year in Sound', 'Nicaragua Has a Simple Message for Protesters: Don’t', 'The Four Secrets of Success', 'Why Are Brazilian Streets So Calm?', 'Activist’s Case Hints at What Changes and What Stays the Same in Cuba', 'Everton and the Burden of History', 'Lovers in Auschwitz, Reunited 72 Years Later. He Had One Question.', 'The Year in Pictures 2019', 'Times Critics’ Top Books of 2019']"
Bolivia,01-2020,15,0.0,0.1,"['As Protests in South America Surged, So Did Russian Trolls on Twitter, U.S. Finds', '52 Places to Go in 2020', 'Argentina Needs Help. Trump Is the Answer.', 'Lauren Coward, Michael Craig', 'Peru Deports 5 Tourists Accused of Damaging Machu Picchu Temple', 'The Rebellion Against the Elites in Latin America', 'Venezuela’s Maduro Claims Control of National Assembly, Consolidating Grip on Power', 'Venezuela’s Maduro Claims Control of National Assembly, Tightening Grip on Power', 'Coco Gauff Will Have a Familiar First-Round Opponent: Venus Williams', 'Coronavirus World Map: Tracking the Global Outbreak', 'We Made the Coronavirus Epidemic', 'Bernie Sanders Says He’d Consider Releasing List of Supreme Court Picks', 'Air Pollution, Evolution, and the Fate of Billions of Humans', 'The Merchants of Thirst', 'Bernie Sanders Wants to Change Your Mind']"
Bolivia,02-2020,8,0.0,0.8,"['M.I.T. Researchers Cast Doubt on Bolivian Election Fraud', 'Evo Morales, Now in Exile, to Run for Bolivia’s Senate', 'Spanish Terrorist Is Extradited From Brazil After Decades on the Run', 'White-Lipped Peccary Species May Be in Steep Decline', 'In Fight to Stop Human Trafficking, Nuns Take to the Streets', '52 Books for 52 Places', 'Paraguay’s Response to Modernist Architecture? Clay, Mud and Timber', 'Everybody Goes to Burger Heaven']"
Bolivia,03-2020,6,0.1,0.5,"['For Autocrats, and Others, Coronavirus Is a Chance to Grab Even More Power', 'As Latin America Shuts Down to Fight Virus, Brazil and Mexico Are Holdouts', 'Javier Pérez de Cuéllar Dies at 100; U.N. Chief Brokered Peace Pacts', 'Coming to a Country Near You: A Russian Nuclear Power Plant', 'I’m a U.S. Citizen. Where in the World Can I Go?', 'As Governors Plead for Tests, Trump Promises Ventilators to Europe']"
Bolivia,04-2020,8,-0.2,0.2,"['The Pandemic’s Hidden Toll: Half a Million Deaths', 'Millions of Children Are at Risk for Measles as Coronavirus Fears Halt Vaccines', 'Ecuador’s Former President Convicted on Corruption Charges', '‘We Can Do Better’: One Plan to Erase America’s Digital Divide', 'Here’s How You Can Change Lives in the Pandemic', 'Peru’s Queen of Quechua Rap Wants to Rescue Indigenous Culture With Her Music', '‘This Government Is Lucky’: Coronavirus Quiets Global Protest Movements', '52 Places, Virtually']"
Bolivia,05-2020,4,-0.2,1.2,"['Welcome to Our Surprise Zwedding', 'Cocktails Beyond the Margarita, Mojito and Pisco Sour', 'India Loosens Restrictions, Despite Coronavirus Surge', 'Latin America’s Outbreaks Now Rival Europe’s. But Its Options Are Worse.']"
Bolivia,06-2020,12,-0.2,1.1,"['A Bitter Election. Accusations of Fraud. And Now Second Thoughts.', 'Latin America’s Virus Villains: Corrupt Officials Collude With Price Gougers for Body Bags and Flimsy Masks', 'Where Jaguars Are Killed, New Common Factor Emerges: Chinese Investment', '‘Going in the Wrong Direction’: More Tropical Forest Loss in 2019', 'The State Department Was Designed to Keep African-Americans Out', 'The World Reopens, Despite Skyrocketing Coronavirus Cases', 'Piracy Surges in Gulf of Mexico, Prompting U.S. Warning', 'Poor Countries Face a Debt Crisis ‘Unlike Anything We Have Seen’', 'The Work Diary of Gray Malin, Locked-Down ‘Getaway’ Photographer', 'Coronavirus Vaccine Tracker', 'Florida and South Carolina Again Set Records as U.S. Coronavirus Cases Surge', 'Corrections: June 10, 2020']"
Bolivia,07-2020,11,0.0,0.0,"['Bolivia President, Jeanine Añez, Tests Positive for Coronavirus', 'With Officials’ Backing, Dubious Virus Remedies Surge in Latin America', 'Behind the Legend of Butch Cassidy', 'What’s on TV Tuesday: ‘Landless’ and ‘Frontline’', 'Latin America Is Facing a ‘Decline of Democracy’ Under the Pandemic', 'Coronavirus Briefing: What Happened Today', 'School Reopening, Evictions, Surfing: Your Friday Evening Briefing', '10 New Books We Recommend This Week', 'U.S. Hits Another Record for New Coronavirus Cases', 'Coronavirus, Seoul Mayor, Ava DuVernay: Your Friday Briefing', 'A More Accessible World']"
Bolivia,08-2020,9,-0.5,0.5,"['As Politicians Clashed, Bolivia’s Pandemic Death Rate Soared', 'Bolivia Under Blockade as Protesters Choke Access to Cities', 'After Contact Tracing, Some U.S. Open Players Are Put on Tighter Restrictions', '5 Art Accounts to Follow on Instagram Now', 'Tennis’s Most Ambitious Doubleheader in Years Is Underway', 'Trump Ally Wants to Be First American to Head Latin American Aid Bank', 'Trump Takes Night Off From Anti-Immigrant Talk to Swear In U.S. Citizens', 'Global Death Toll From Virus Surpasses 800,000', '2020 U.S. Open: Highlights From Day 1']"
Bolivia,09-2020,11,0.0,0.0,"['Bolivia’s Interim President Pulls Out of Election', 'The Best Answer to Chaos in Bolivia Is Socialism', '8 Political Campaign Documentaries Worth Streaming', 'FIFA Plans to Order Release of Players Over Clubs’ Objections', 'There Is No Route to the White House Without Latino Voters', '‘A Total Collapse’ for a Player Restricted by U.S. Open Contact Tracing', 'Apple Watch Is a Private Road', 'Chile’s Largest Indigenous Group Sees Opportunity in a New Constitution', 'Mexico and the Gods of Corruption', 'House Hunting in Chile: A Bright, Modern Villa in the Andes for $1.3 Million', 'C.D.C.’s Contentious Testing Guidance on Covid-19 Was Not Written by Its Scientists']"
Bolivia,10-2020,19,-0.1,0.8,"['From Bolivia, Lessons for a Successful Election', 'The Lesson From Bolivia for Latin American Politics', 'How Bolivia Overcame a Crisis and Held a Clean Election', 'In Election, Bolivia Confronts Legacy of Ousted Socialist Leader', 'Evo Morales Is Out. His Socialist Project Lives On.', 'Many Rivers, Too Many Dams', 'Leaders Who Caught Virus: Boris Johnson, Jair Bolsonaro and Now Trump', 'The World’s Largest Tropical Wetland Has Become an Inferno', 'Trump and Bolsonaro weakened Latin America’s health defenses at critical moments.', 'The Grandmother Trees', 'Coronavirus Briefing: What Happened Today', 'How Trump and Bolsonaro Broke Latin America’s Covid-19 Defenses', 'Your Wednesday Briefing', 'Your Monday Briefing', 'Nagorno-Karabakh, Coronavirus, Thai Protests: Your Monday Briefing', 'The Virus in Three Charts', 'Trump Tests Positive for the Coronavirus', 'Trump Hospitalized With Coronavirus', 'These Americans Tried to Listen to One Another. A Year Later, Here’s How They’re Voting.']"
Bolivia,11-2020,6,0.0,0.0,"['Evo Morales Returns to Bolivia to Cheers — and Worries', 'News Quiz: U.S. Election, Sean Connery, International Space Station', '‘Democracy Should Not Be Taken for Granted’', 'Swiss to Vote on Tougher Responsibility Proposal for Companies', 'François Catroux, Decorator of Choice for Aristocrats, Dies at 83', 'Corrections: Nov. 24, 2020']"
Bolivia,12-2020,5,0.0,0.2,"['A Flying Elephant, a Teacher’s Hugs: 12 Tales of Pandemic Resilience', 'News Quiz: Iran, Utah, Emergency Approval', 'How Argentina Bucked Tradition in Latin America and Legalized Abortion', 'What’s Fauci Reading? We Take Another Look at Celebrity Bookshelves', 'Democrats’ Georgia Hopes Rest on Jon Ossoff, 33. How Did He Get Here?']"
Bolivia,01-2021,10,0.1,0.2,"['Explore the World With These 100 Country Quizzes', 'Meet a Family Who Spent 9 Months Traveling the Globe, Pre-Plague', 'Let’s Work With Latin America to Fight Climate Change', 'Why Are We So Afraid of Fevers?', 'Biden’s Promise of Immigration Reform Raises Hopes in Latin America', 'Tracking Coronavirus Vaccinations Around the World', 'Suriname Could Be Latest Big Oil Find as Industry Cuts Costs', '‘It Became Sort of Lawless’: Florida Vaccine Rollout Turns Into a Free-for-All', '‘Craft: An American History,’ by Glenn Adamson: An Excerpt', '52 Places to Love in 2021']"
